operation_index,stage,butterfly_in_stage,half,block,local_index,address_a,address_b,twiddle_address,forward_twiddle,inverse_twiddle
0,0,0,1,0,0,0,1,0,1,1
1,0,1,1,1,0,2,3,0,1,1
2,0,2,1,2,0,4,5,0,1,1
3,0,3,1,3,0,6,7,0,1,1
4,0,4,1,4,0,8,9,0,1,1
5,0,5,1,5,0,10,11,0,1,1
6,0,6,1,6,0,12,13,0,1,1
7,0,7,1,7,0,14,15,0,1,1
8,0,8,1,8,0,16,17,0,1,1
9,0,9,1,9,0,18,19,0,1,1
10,0,10,1,10,0,20,21,0,1,1
11,0,11,1,11,0,22,23,0,1,1
12,0,12,1,12,0,24,25,0,1,1
13,0,13,1,13,0,26,27,0,1,1
14,0,14,1,14,0,28,29,0,1,1
15,0,15,1,15,0,30,31,0,1,1
16,0,16,1,16,0,32,33,0,1,1
17,0,17,1,17,0,34,35,0,1,1
18,0,18,1,18,0,36,37,0,1,1
19,0,19,1,19,0,38,39,0,1,1
20,0,20,1,20,0,40,41,0,1,1
21,0,21,1,21,0,42,43,0,1,1
22,0,22,1,22,0,44,45,0,1,1
23,0,23,1,23,0,46,47,0,1,1
24,0,24,1,24,0,48,49,0,1,1
25,0,25,1,25,0,50,51,0,1,1
26,0,26,1,26,0,52,53,0,1,1
27,0,27,1,27,0,54,55,0,1,1
28,0,28,1,28,0,56,57,0,1,1
29,0,29,1,29,0,58,59,0,1,1
30,0,30,1,30,0,60,61,0,1,1
31,0,31,1,31,0,62,63,0,1,1
32,0,32,1,32,0,64,65,0,1,1
33,0,33,1,33,0,66,67,0,1,1
34,0,34,1,34,0,68,69,0,1,1
35,0,35,1,35,0,70,71,0,1,1
36,0,36,1,36,0,72,73,0,1,1
37,0,37,1,37,0,74,75,0,1,1
38,0,38,1,38,0,76,77,0,1,1
39,0,39,1,39,0,78,79,0,1,1
40,0,40,1,40,0,80,81,0,1,1
41,0,41,1,41,0,82,83,0,1,1
42,0,42,1,42,0,84,85,0,1,1
43,0,43,1,43,0,86,87,0,1,1
44,0,44,1,44,0,88,89,0,1,1
45,0,45,1,45,0,90,91,0,1,1
46,0,46,1,46,0,92,93,0,1,1
47,0,47,1,47,0,94,95,0,1,1
48,0,48,1,48,0,96,97,0,1,1
49,0,49,1,49,0,98,99,0,1,1
50,0,50,1,50,0,100,101,0,1,1
51,0,51,1,51,0,102,103,0,1,1
52,0,52,1,52,0,104,105,0,1,1
53,0,53,1,53,0,106,107,0,1,1
54,0,54,1,54,0,108,109,0,1,1
55,0,55,1,55,0,110,111,0,1,1
56,0,56,1,56,0,112,113,0,1,1
57,0,57,1,57,0,114,115,0,1,1
58,0,58,1,58,0,116,117,0,1,1
59,0,59,1,59,0,118,119,0,1,1
60,0,60,1,60,0,120,121,0,1,1
61,0,61,1,61,0,122,123,0,1,1
62,0,62,1,62,0,124,125,0,1,1
63,0,63,1,63,0,126,127,0,1,1
64,0,64,1,64,0,128,129,0,1,1
65,0,65,1,65,0,130,131,0,1,1
66,0,66,1,66,0,132,133,0,1,1
67,0,67,1,67,0,134,135,0,1,1
68,0,68,1,68,0,136,137,0,1,1
69,0,69,1,69,0,138,139,0,1,1
70,0,70,1,70,0,140,141,0,1,1
71,0,71,1,71,0,142,143,0,1,1
72,0,72,1,72,0,144,145,0,1,1
73,0,73,1,73,0,146,147,0,1,1
74,0,74,1,74,0,148,149,0,1,1
75,0,75,1,75,0,150,151,0,1,1
76,0,76,1,76,0,152,153,0,1,1
77,0,77,1,77,0,154,155,0,1,1
78,0,78,1,78,0,156,157,0,1,1
79,0,79,1,79,0,158,159,0,1,1
80,0,80,1,80,0,160,161,0,1,1
81,0,81,1,81,0,162,163,0,1,1
82,0,82,1,82,0,164,165,0,1,1
83,0,83,1,83,0,166,167,0,1,1
84,0,84,1,84,0,168,169,0,1,1
85,0,85,1,85,0,170,171,0,1,1
86,0,86,1,86,0,172,173,0,1,1
87,0,87,1,87,0,174,175,0,1,1
88,0,88,1,88,0,176,177,0,1,1
89,0,89,1,89,0,178,179,0,1,1
90,0,90,1,90,0,180,181,0,1,1
91,0,91,1,91,0,182,183,0,1,1
92,0,92,1,92,0,184,185,0,1,1
93,0,93,1,93,0,186,187,0,1,1
94,0,94,1,94,0,188,189,0,1,1
95,0,95,1,95,0,190,191,0,1,1
96,0,96,1,96,0,192,193,0,1,1
97,0,97,1,97,0,194,195,0,1,1
98,0,98,1,98,0,196,197,0,1,1
99,0,99,1,99,0,198,199,0,1,1
100,0,100,1,100,0,200,201,0,1,1
101,0,101,1,101,0,202,203,0,1,1
102,0,102,1,102,0,204,205,0,1,1
103,0,103,1,103,0,206,207,0,1,1
104,0,104,1,104,0,208,209,0,1,1
105,0,105,1,105,0,210,211,0,1,1
106,0,106,1,106,0,212,213,0,1,1
107,0,107,1,107,0,214,215,0,1,1
108,0,108,1,108,0,216,217,0,1,1
109,0,109,1,109,0,218,219,0,1,1
110,0,110,1,110,0,220,221,0,1,1
111,0,111,1,111,0,222,223,0,1,1
112,0,112,1,112,0,224,225,0,1,1
113,0,113,1,113,0,226,227,0,1,1
114,0,114,1,114,0,228,229,0,1,1
115,0,115,1,115,0,230,231,0,1,1
116,0,116,1,116,0,232,233,0,1,1
117,0,117,1,117,0,234,235,0,1,1
118,0,118,1,118,0,236,237,0,1,1
119,0,119,1,119,0,238,239,0,1,1
120,0,120,1,120,0,240,241,0,1,1
121,0,121,1,121,0,242,243,0,1,1
122,0,122,1,122,0,244,245,0,1,1
123,0,123,1,123,0,246,247,0,1,1
124,0,124,1,124,0,248,249,0,1,1
125,0,125,1,125,0,250,251,0,1,1
126,0,126,1,126,0,252,253,0,1,1
127,0,127,1,127,0,254,255,0,1,1
128,1,0,2,0,0,0,2,1,1,1
129,1,1,2,0,1,1,3,2,8388480,1065304193
130,1,2,2,1,0,4,6,1,1,1
131,1,3,2,1,1,5,7,2,8388480,1065304193
132,1,4,2,2,0,8,10,1,1,1
133,1,5,2,2,1,9,11,2,8388480,1065304193
134,1,6,2,3,0,12,14,1,1,1
135,1,7,2,3,1,13,15,2,8388480,1065304193
136,1,8,2,4,0,16,18,1,1,1
137,1,9,2,4,1,17,19,2,8388480,1065304193
138,1,10,2,5,0,20,22,1,1,1
139,1,11,2,5,1,21,23,2,8388480,1065304193
140,1,12,2,6,0,24,26,1,1,1
141,1,13,2,6,1,25,27,2,8388480,1065304193
142,1,14,2,7,0,28,30,1,1,1
143,1,15,2,7,1,29,31,2,8388480,1065304193
144,1,16,2,8,0,32,34,1,1,1
145,1,17,2,8,1,33,35,2,8388480,1065304193
146,1,18,2,9,0,36,38,1,1,1
147,1,19,2,9,1,37,39,2,8388480,1065304193
148,1,20,2,10,0,40,42,1,1,1
149,1,21,2,10,1,41,43,2,8388480,1065304193
150,1,22,2,11,0,44,46,1,1,1
151,1,23,2,11,1,45,47,2,8388480,1065304193
152,1,24,2,12,0,48,50,1,1,1
153,1,25,2,12,1,49,51,2,8388480,1065304193
154,1,26,2,13,0,52,54,1,1,1
155,1,27,2,13,1,53,55,2,8388480,1065304193
156,1,28,2,14,0,56,58,1,1,1
157,1,29,2,14,1,57,59,2,8388480,1065304193
158,1,30,2,15,0,60,62,1,1,1
159,1,31,2,15,1,61,63,2,8388480,1065304193
160,1,32,2,16,0,64,66,1,1,1
161,1,33,2,16,1,65,67,2,8388480,1065304193
162,1,34,2,17,0,68,70,1,1,1
163,1,35,2,17,1,69,71,2,8388480,1065304193
164,1,36,2,18,0,72,74,1,1,1
165,1,37,2,18,1,73,75,2,8388480,1065304193
166,1,38,2,19,0,76,78,1,1,1
167,1,39,2,19,1,77,79,2,8388480,1065304193
168,1,40,2,20,0,80,82,1,1,1
169,1,41,2,20,1,81,83,2,8388480,1065304193
170,1,42,2,21,0,84,86,1,1,1
171,1,43,2,21,1,85,87,2,8388480,1065304193
172,1,44,2,22,0,88,90,1,1,1
173,1,45,2,22,1,89,91,2,8388480,1065304193
174,1,46,2,23,0,92,94,1,1,1
175,1,47,2,23,1,93,95,2,8388480,1065304193
176,1,48,2,24,0,96,98,1,1,1
177,1,49,2,24,1,97,99,2,8388480,1065304193
178,1,50,2,25,0,100,102,1,1,1
179,1,51,2,25,1,101,103,2,8388480,1065304193
180,1,52,2,26,0,104,106,1,1,1
181,1,53,2,26,1,105,107,2,8388480,1065304193
182,1,54,2,27,0,108,110,1,1,1
183,1,55,2,27,1,109,111,2,8388480,1065304193
184,1,56,2,28,0,112,114,1,1,1
185,1,57,2,28,1,113,115,2,8388480,1065304193
186,1,58,2,29,0,116,118,1,1,1
187,1,59,2,29,1,117,119,2,8388480,1065304193
188,1,60,2,30,0,120,122,1,1,1
189,1,61,2,30,1,121,123,2,8388480,1065304193
190,1,62,2,31,0,124,126,1,1,1
191,1,63,2,31,1,125,127,2,8388480,1065304193
192,1,64,2,32,0,128,130,1,1,1
193,1,65,2,32,1,129,131,2,8388480,1065304193
194,1,66,2,33,0,132,134,1,1,1
195,1,67,2,33,1,133,135,2,8388480,1065304193
196,1,68,2,34,0,136,138,1,1,1
197,1,69,2,34,1,137,139,2,8388480,1065304193
198,1,70,2,35,0,140,142,1,1,1
199,1,71,2,35,1,141,143,2,8388480,1065304193
200,1,72,2,36,0,144,146,1,1,1
201,1,73,2,36,1,145,147,2,8388480,1065304193
202,1,74,2,37,0,148,150,1,1,1
203,1,75,2,37,1,149,151,2,8388480,1065304193
204,1,76,2,38,0,152,154,1,1,1
205,1,77,2,38,1,153,155,2,8388480,1065304193
206,1,78,2,39,0,156,158,1,1,1
207,1,79,2,39,1,157,159,2,8388480,1065304193
208,1,80,2,40,0,160,162,1,1,1
209,1,81,2,40,1,161,163,2,8388480,1065304193
210,1,82,2,41,0,164,166,1,1,1
211,1,83,2,41,1,165,167,2,8388480,1065304193
212,1,84,2,42,0,168,170,1,1,1
213,1,85,2,42,1,169,171,2,8388480,1065304193
214,1,86,2,43,0,172,174,1,1,1
215,1,87,2,43,1,173,175,2,8388480,1065304193
216,1,88,2,44,0,176,178,1,1,1
217,1,89,2,44,1,177,179,2,8388480,1065304193
218,1,90,2,45,0,180,182,1,1,1
219,1,91,2,45,1,181,183,2,8388480,1065304193
220,1,92,2,46,0,184,186,1,1,1
221,1,93,2,46,1,185,187,2,8388480,1065304193
222,1,94,2,47,0,188,190,1,1,1
223,1,95,2,47,1,189,191,2,8388480,1065304193
224,1,96,2,48,0,192,194,1,1,1
225,1,97,2,48,1,193,195,2,8388480,1065304193
226,1,98,2,49,0,196,198,1,1,1
227,1,99,2,49,1,197,199,2,8388480,1065304193
228,1,100,2,50,0,200,202,1,1,1
229,1,101,2,50,1,201,203,2,8388480,1065304193
230,1,102,2,51,0,204,206,1,1,1
231,1,103,2,51,1,205,207,2,8388480,1065304193
232,1,104,2,52,0,208,210,1,1,1
233,1,105,2,52,1,209,211,2,8388480,1065304193
234,1,106,2,53,0,212,214,1,1,1
235,1,107,2,53,1,213,215,2,8388480,1065304193
236,1,108,2,54,0,216,218,1,1,1
237,1,109,2,54,1,217,219,2,8388480,1065304193
238,1,110,2,55,0,220,222,1,1,1
239,1,111,2,55,1,221,223,2,8388480,1065304193
240,1,112,2,56,0,224,226,1,1,1
241,1,113,2,56,1,225,227,2,8388480,1065304193
242,1,114,2,57,0,228,230,1,1,1
243,1,115,2,57,1,229,231,2,8388480,1065304193
244,1,116,2,58,0,232,234,1,1,1
245,1,117,2,58,1,233,235,2,8388480,1065304193
246,1,118,2,59,0,236,238,1,1,1
247,1,119,2,59,1,237,239,2,8388480,1065304193
248,1,120,2,60,0,240,242,1,1,1
249,1,121,2,60,1,241,243,2,8388480,1065304193
250,1,122,2,61,0,244,246,1,1,1
251,1,123,2,61,1,245,247,2,8388480,1065304193
252,1,124,2,62,0,248,250,1,1,1
253,1,125,2,62,1,249,251,2,8388480,1065304193
254,1,126,2,63,0,252,254,1,1,1
255,1,127,2,63,1,253,255,2,8388480,1065304193
256,2,0,4,0,0,0,4,3,1,1
257,2,1,4,0,1,1,5,4,808610892,660802458
258,2,2,4,0,2,2,6,5,8388480,1065304193
259,2,3,4,0,3,3,7,6,412890215,265081781
260,2,4,4,1,0,8,12,3,1,1
261,2,5,4,1,1,9,13,4,808610892,660802458
262,2,6,4,1,2,10,14,5,8388480,1065304193
263,2,7,4,1,3,11,15,6,412890215,265081781
264,2,8,4,2,0,16,20,3,1,1
265,2,9,4,2,1,17,21,4,808610892,660802458
266,2,10,4,2,2,18,22,5,8388480,1065304193
267,2,11,4,2,3,19,23,6,412890215,265081781
268,2,12,4,3,0,24,28,3,1,1
269,2,13,4,3,1,25,29,4,808610892,660802458
270,2,14,4,3,2,26,30,5,8388480,1065304193
271,2,15,4,3,3,27,31,6,412890215,265081781
272,2,16,4,4,0,32,36,3,1,1
273,2,17,4,4,1,33,37,4,808610892,660802458
274,2,18,4,4,2,34,38,5,8388480,1065304193
275,2,19,4,4,3,35,39,6,412890215,265081781
276,2,20,4,5,0,40,44,3,1,1
277,2,21,4,5,1,41,45,4,808610892,660802458
278,2,22,4,5,2,42,46,5,8388480,1065304193
279,2,23,4,5,3,43,47,6,412890215,265081781
280,2,24,4,6,0,48,52,3,1,1
281,2,25,4,6,1,49,53,4,808610892,660802458
282,2,26,4,6,2,50,54,5,8388480,1065304193
283,2,27,4,6,3,51,55,6,412890215,265081781
284,2,28,4,7,0,56,60,3,1,1
285,2,29,4,7,1,57,61,4,808610892,660802458
286,2,30,4,7,2,58,62,5,8388480,1065304193
287,2,31,4,7,3,59,63,6,412890215,265081781
288,2,32,4,8,0,64,68,3,1,1
289,2,33,4,8,1,65,69,4,808610892,660802458
290,2,34,4,8,2,66,70,5,8388480,1065304193
291,2,35,4,8,3,67,71,6,412890215,265081781
292,2,36,4,9,0,72,76,3,1,1
293,2,37,4,9,1,73,77,4,808610892,660802458
294,2,38,4,9,2,74,78,5,8388480,1065304193
295,2,39,4,9,3,75,79,6,412890215,265081781
296,2,40,4,10,0,80,84,3,1,1
297,2,41,4,10,1,81,85,4,808610892,660802458
298,2,42,4,10,2,82,86,5,8388480,1065304193
299,2,43,4,10,3,83,87,6,412890215,265081781
300,2,44,4,11,0,88,92,3,1,1
301,2,45,4,11,1,89,93,4,808610892,660802458
302,2,46,4,11,2,90,94,5,8388480,1065304193
303,2,47,4,11,3,91,95,6,412890215,265081781
304,2,48,4,12,0,96,100,3,1,1
305,2,49,4,12,1,97,101,4,808610892,660802458
306,2,50,4,12,2,98,102,5,8388480,1065304193
307,2,51,4,12,3,99,103,6,412890215,265081781
308,2,52,4,13,0,104,108,3,1,1
309,2,53,4,13,1,105,109,4,808610892,660802458
310,2,54,4,13,2,106,110,5,8388480,1065304193
311,2,55,4,13,3,107,111,6,412890215,265081781
312,2,56,4,14,0,112,116,3,1,1
313,2,57,4,14,1,113,117,4,808610892,660802458
314,2,58,4,14,2,114,118,5,8388480,1065304193
315,2,59,4,14,3,115,119,6,412890215,265081781
316,2,60,4,15,0,120,124,3,1,1
317,2,61,4,15,1,121,125,4,808610892,660802458
318,2,62,4,15,2,122,126,5,8388480,1065304193
319,2,63,4,15,3,123,127,6,412890215,265081781
320,2,64,4,16,0,128,132,3,1,1
321,2,65,4,16,1,129,133,4,808610892,660802458
322,2,66,4,16,2,130,134,5,8388480,1065304193
323,2,67,4,16,3,131,135,6,412890215,265081781
324,2,68,4,17,0,136,140,3,1,1
325,2,69,4,17,1,137,141,4,808610892,660802458
326,2,70,4,17,2,138,142,5,8388480,1065304193
327,2,71,4,17,3,139,143,6,412890215,265081781
328,2,72,4,18,0,144,148,3,1,1
329,2,73,4,18,1,145,149,4,808610892,660802458
330,2,74,4,18,2,146,150,5,8388480,1065304193
331,2,75,4,18,3,147,151,6,412890215,265081781
332,2,76,4,19,0,152,156,3,1,1
333,2,77,4,19,1,153,157,4,808610892,660802458
334,2,78,4,19,2,154,158,5,8388480,1065304193
335,2,79,4,19,3,155,159,6,412890215,265081781
336,2,80,4,20,0,160,164,3,1,1
337,2,81,4,20,1,161,165,4,808610892,660802458
338,2,82,4,20,2,162,166,5,8388480,1065304193
339,2,83,4,20,3,163,167,6,412890215,265081781
340,2,84,4,21,0,168,172,3,1,1
341,2,85,4,21,1,169,173,4,808610892,660802458
342,2,86,4,21,2,170,174,5,8388480,1065304193
343,2,87,4,21,3,171,175,6,412890215,265081781
344,2,88,4,22,0,176,180,3,1,1
345,2,89,4,22,1,177,181,4,808610892,660802458
346,2,90,4,22,2,178,182,5,8388480,1065304193
347,2,91,4,22,3,179,183,6,412890215,265081781
348,2,92,4,23,0,184,188,3,1,1
349,2,93,4,23,1,185,189,4,808610892,660802458
350,2,94,4,23,2,186,190,5,8388480,1065304193
351,2,95,4,23,3,187,191,6,412890215,265081781
352,2,96,4,24,0,192,196,3,1,1
353,2,97,4,24,1,193,197,4,808610892,660802458
354,2,98,4,24,2,194,198,5,8388480,1065304193
355,2,99,4,24,3,195,199,6,412890215,265081781
356,2,100,4,25,0,200,204,3,1,1
357,2,101,4,25,1,201,205,4,808610892,660802458
358,2,102,4,25,2,202,206,5,8388480,1065304193
359,2,103,4,25,3,203,207,6,412890215,265081781
360,2,104,4,26,0,208,212,3,1,1
361,2,105,4,26,1,209,213,4,808610892,660802458
362,2,106,4,26,2,210,214,5,8388480,1065304193
363,2,107,4,26,3,211,215,6,412890215,265081781
364,2,108,4,27,0,216,220,3,1,1
365,2,109,4,27,1,217,221,4,808610892,660802458
366,2,110,4,27,2,218,222,5,8388480,1065304193
367,2,111,4,27,3,219,223,6,412890215,265081781
368,2,112,4,28,0,224,228,3,1,1
369,2,113,4,28,1,225,229,4,808610892,660802458
370,2,114,4,28,2,226,230,5,8388480,1065304193
371,2,115,4,28,3,227,231,6,412890215,265081781
372,2,116,4,29,0,232,236,3,1,1
373,2,117,4,29,1,233,237,4,808610892,660802458
374,2,118,4,29,2,234,238,5,8388480,1065304193
375,2,119,4,29,3,235,239,6,412890215,265081781
376,2,120,4,30,0,240,244,3,1,1
377,2,121,4,30,1,241,245,4,808610892,660802458
378,2,122,4,30,2,242,246,5,8388480,1065304193
379,2,123,4,30,3,243,247,6,412890215,265081781
380,2,124,4,31,0,248,252,3,1,1
381,2,125,4,31,1,249,253,4,808610892,660802458
382,2,126,4,31,2,250,254,5,8388480,1065304193
383,2,127,4,31,3,251,255,6,412890215,265081781
384,3,0,8,0,0,0,8,7,1,1
385,3,1,8,0,1,1,9,8,1051583792,155190050
386,3,2,8,0,2,2,10,9,808610892,660802458
387,3,3,8,0,3,3,11,10,286011093,970683590
388,3,4,8,0,4,4,12,11,8388480,1065304193
389,3,5,8,0,5,5,13,12,103009083,787681580
390,3,6,8,0,6,6,14,13,412890215,265081781
391,3,7,8,0,7,7,15,14,918502623,22108881
392,3,8,8,1,0,16,24,7,1,1
393,3,9,8,1,1,17,25,8,1051583792,155190050
394,3,10,8,1,2,18,26,9,808610892,660802458
395,3,11,8,1,3,19,27,10,286011093,970683590
396,3,12,8,1,4,20,28,11,8388480,1065304193
397,3,13,8,1,5,21,29,12,103009083,787681580
398,3,14,8,1,6,22,30,13,412890215,265081781
399,3,15,8,1,7,23,31,14,918502623,22108881
400,3,16,8,2,0,32,40,7,1,1
401,3,17,8,2,1,33,41,8,1051583792,155190050
402,3,18,8,2,2,34,42,9,808610892,660802458
403,3,19,8,2,3,35,43,10,286011093,970683590
404,3,20,8,2,4,36,44,11,8388480,1065304193
405,3,21,8,2,5,37,45,12,103009083,787681580
406,3,22,8,2,6,38,46,13,412890215,265081781
407,3,23,8,2,7,39,47,14,918502623,22108881
408,3,24,8,3,0,48,56,7,1,1
409,3,25,8,3,1,49,57,8,1051583792,155190050
410,3,26,8,3,2,50,58,9,808610892,660802458
411,3,27,8,3,3,51,59,10,286011093,970683590
412,3,28,8,3,4,52,60,11,8388480,1065304193
413,3,29,8,3,5,53,61,12,103009083,787681580
414,3,30,8,3,6,54,62,13,412890215,265081781
415,3,31,8,3,7,55,63,14,918502623,22108881
416,3,32,8,4,0,64,72,7,1,1
417,3,33,8,4,1,65,73,8,1051583792,155190050
418,3,34,8,4,2,66,74,9,808610892,660802458
419,3,35,8,4,3,67,75,10,286011093,970683590
420,3,36,8,4,4,68,76,11,8388480,1065304193
421,3,37,8,4,5,69,77,12,103009083,787681580
422,3,38,8,4,6,70,78,13,412890215,265081781
423,3,39,8,4,7,71,79,14,918502623,22108881
424,3,40,8,5,0,80,88,7,1,1
425,3,41,8,5,1,81,89,8,1051583792,155190050
426,3,42,8,5,2,82,90,9,808610892,660802458
427,3,43,8,5,3,83,91,10,286011093,970683590
428,3,44,8,5,4,84,92,11,8388480,1065304193
429,3,45,8,5,5,85,93,12,103009083,787681580
